originals	toba_batak_TOKEN	toba_batak_TRANSLITERATED	toba_batak_COMMON
manginsona	m a n gi n s o n a	m a n c n s o n a	mancnsona
mangulatac	m a n g u l a t a c	m a n j u l a t a k	manjulatak
		⁇	⁇
tocchinnai	t o c ch i n n ai	t o k k i n n a:i	tokkinna:i
		⁇	⁇
		⁇	⁇
tarsungul	t a r s u n g u l	t a r s u n j u l	tarsunjul
manangoi	m a n a n g o i	m a n a n j o i	mananjoi
		⁇	⁇
		⁇	⁇
mangiris	m a n gi r i s	m a n c r i s	mancris
bijar	b i j a r	b i j a r	bijar
		⁇	⁇
tano	t a n o	t a n o	tano
lalo	l a l o	l a l o	lalo
ulu	u l u	u l u	ulu
ulu	u l u	u l u	ulu
si tindangi	s i # t i n d a n gi	s i # t i n d a n c	si tindanc
		⁇	⁇
		⁇	⁇
tarup	t a r u p	t a r u p	tarup
tarup	t a r u p	t a r u p	tarup
biiar	b i i a r	b i i a r	biiar
mangalutarhon	m a n g a l u t a r h o n	m a n j a l u t a r h o n	manjalutarhon
sulu²	s u l u ²	s u l u ²	sulu²
		⁇	⁇
bntuc	b n t u c	b n t u k	bntuk
		⁇	⁇
humuntal	h u m u n t a l	h u m u n t a l	humuntal
		⁇	⁇
mandapot	m a n d a p o t	m a n d a p o t	mandapot
saluhutna	s a l u h u t n a	s a l u h u t n a	saluhutna
nuhu	n u h u	n u h u	nuhu
nuhu	n u h u	n u h u	nuhu
giolma	gi o l m a	c o l m a	colma
pira	p i r a	p i r a	pira
paranahan	p a r a n a h a n	p a r a n a h a n	paranahan
buwat	b u w a t	b u w a t	buwat
		⁇	⁇
pidong	p i d o n g	p i d o n j	pidonj
mamunu	m a m u n u	m a m u n u	mamunu
songon	s o n g o n	s o n j o n	sonjon
ima dengan	i m a # d e n g a n	i m a # d e n j a n	ima denjan
		⁇	⁇
		⁇	⁇
ale mundur do laho do	a l e # m u n d u r # d o # l a h o # d o	a l e # m u n d u r # d o # l a h o # d o	ale mundur do laho do
begu	b e g u	b e j u	beju
marompas	m a r o m p a s	m a r o m p a s	marompas
matua	m a t u a	m a t u a	matua
mornida	m o r n i d a	m o r n i d a	mornida
balu	b a l u	b a l u	balu
		⁇	⁇
		⁇	⁇
		⁇	⁇
		⁇	⁇
morgadis	m o r g a d i s	m o r j a d i s	morjadis
balos	b a l o s	b a l o s	balos
ro	r o	r o	ro
alogo	a l o g o	a l o j o	alojo
butuc	b u t u c	b u t u k	butuk
butuc	b u t u c	b u t u k	butuk
mabubu	m a b u b u	m a b u b u	mabubu
dara	d a r a	d a r a	dara
tutu	t u t u	t u t u	tutu
di	d i	d i	di
mordalan	m o r d a l a n	m o r d a l a n	mordalan
		⁇	⁇
