originals	nias_TOKEN	nias_TRANSLITERATED	nias_COMMON
awochi dodo	a w o ch i # d o d o	a w o k i # d o d o	awoki dodo
e	e	e	e
simané	s i m a n é	s i m a n e	simane
gambera	g a m b e r a	j a m b e r a	jambera
tola latoro	t o l a # l a t o r o	t o l a # l a t o r o	tola latoro
lúo	l ú o	l u o	luo
ha	h a	h a	ha
		⁇	⁇
		⁇	⁇
		⁇	⁇
afiso	a f i s o	a f i s o	afiso
talifuso alawe	t a l i f u s o # a l a w e	t a l i f u s o # a l a w e	talifuso alawe
talifuso alawe	t a l i f u s o # a l a w e	t a l i f u s o # a l a w e	talifuso alawe
talifuso alawe	t a l i f u s o # a l a w e	t a l i f u s o # a l a w e	talifuso alawe
tawi²	t a w i ²	t a w i ²	tawi²
alisi	a l i s i	a l i s i	alisi
bezini	b e z i n i	b e z i n i	bezini
sasáo	s a s á o	s a s a o	sasao
faotona	f ao t o n a	f a:o t o n a	fa:otona
bèchu	b è c h u	b E k h u	bEkhu
fangowálu	f a n g o w á l u	f a n j o w a l u	fanjowalu
menghedilo	m e n g h e d i l o	m e n j h e d i l o	menjhedilo
erege dodo	e r e g e # d o d o	e r e j e # d o d o	ereje dodo
mudadao dofi	m u d a d ao # d o f i	m u d a d a:o # d o f i	mudada:o dofi
manica	m a n i c a	m a n i k a	manika
lala	l a l a	l a l a	lala
baho	b a h o	b a h o	baho
nifachico	n i f a ch i c o	n i f a k i k o	nifakiko
muta	m u t a	m u t a	muta
dodo mate	d o d o # m a t e	d o d o # m a t e	dodo mate
dania	d a n i a	d a n i a	dania
nia	n i a	n i a	nia
lora	l o r a	l o r a	lora
		⁇	⁇
laforo	l a f o r o	l a f o r o	laforo
laforo gambi	l a f o r o # g a m b i	l a f o r o # j a m b i	laforo jambi
fanaba	f a n a b a	f a n a b a	fanaba
ataro	a t a r o	a t a r o	ataro
moghichi	m o g h i ch i	m o j h i k i	mojhiki
cabúa	c a b ú a	k a b u a	kabua
tano	t a n o	t a n o	tano
durú	d u r ú	d u r u	duru
hogo	h o g o	h o j o	hojo
hogo	h o g o	h o j o	hojo
sanongoni	s a n o n g o n i	s a n o n j o n i	sanonjoni
lafaduhu	l a f a d u h u	l a f a d u h u	lafaduhu
lafaduhu	l a f a d u h u	l a f a d u h u	lafaduhu
bulu nomo	b u l u # n o m o	b u l u # n o m o	bulu nomo
bulu nomo	b u l u # n o m o	b u l u # n o m o	bulu nomo
atau	a t au	a t a:u	ata:u
latebu gara	l a t e b u # g a r a	l a t e b u # j a r a	latebu jara
dogodogo	d o g o d o g o	d o j o d o j o	dojodojo
mamacao	m a m a c ao	m a m a k a:o	mamaka:o
mochehacheha	m o ch e h a ch e h a	m o k e h a k e h a	mokehakeha
famalúa li	f a m a l ú a # l i	f a m a l u a # l i	famalua li
		⁇	⁇
		⁇	⁇
nisondra	n i s o n d r a	n i s o n d r a	nisondra
fefu	f e f u	f e f u	fefu
saa	s a a	s a a	saa
saa	s a a	s a a	saa
niha	n i h a	n i x a	nixa
adúlo	a d ú l o	a d u l o	adulo
naha nono	n a h a # n o n o	n a h a # n o n o	naha nono
ta uno	t a # u n o	t a # u n o	ta uno
mabú	m a b ú	m a b u	mabu
fòfo	f ò f o	f O f o	fOfo
famunu	f a m u n u	f a m u n u	famunu
faoma	f ao m a	f a:o m a	fa:oma
lau	l au	l a:u	la:u
bahibahino	b a h i b a h i n o	b a h i b a h i n o	bahibahino
		⁇	⁇
mofano	m o f a n o	m o f a n o	mofano
amui	a m u i	a m u i	amui
		⁇	⁇
atúa	a t ú a	a t u a	atua
mamaigi	m a m ai gi	m a m a:i c	mama:ic
laha mbanùa	l a h a # m b a n ù a	l a h a # m b a n u a	laha mbanua
si mate donga	s i # m a t e # d o n g a	s i # m a t e # d o n j a	si mate donja
		⁇	⁇
		⁇	⁇
		⁇	⁇
nifamawe	n i f a m a w e	n i f a m a w e	nifamawe
falaombalo	f a l ao m b a l o	f a l a:o m b a l o	fala:ombalo
aine	ai n e	a:i n e	a:ine
angi	a n gi	a n c	anc
talu	t a l u	t a l u	talu
talu	t a l u	t a l u	talu
búto	b ú t o	b u t o	buto
ono alave	o n o # a l a v e	o n o # a l a v e	ono alave
si duhu	s i # d u h u	s i # d u h u	si duhu
hò	h ò	h O	hO
wecoli	w e c o l i	w e k o l i	wekoli
		⁇	⁇
		⁇	⁇
banúa	b a n ú a	b a n u a	banua
simona	s i m o n a	s i m o n a	simona
bava	b a v a	b a v a	bava
auri	au r i	a:u r i	a:uri
li	l i	l i	li
hunombo	h u n o m b o	h u n o m b o	hunombo
bechoggu	b e c h o g g u	b e k h o j j u	bekhojju
