originals	ENO_TOKEN	ENO_TRANSLITERATED	ENO_COMMON
eara uapo	e a r a # u a p o	e a r a # u a p o	eara uapo
earaua	e a r au a	e a r a:u a	eara:ua
epuru	e p u r u	e p u r u	epuru
eharu	e h a r u	e h a r u	eharu
pachinunai	p a ch i n u n ai	p a k i n u n a:i	pakinuna:i
honá	h o n á	h o n a	hona
mòco	m ò c o	m O k o	mOko
ahi gèbe	a h i # g è b e	a h i # j E b e	ahi jEbe
ecòho	e c ò h o	e k O h o	ekOho
ecòho	e c ò h o	e k O h o	ekOho
hao	h ao	h a:o	ha:o
opanené caá	o p a n e n é # c a á	o p a n e n e # k a a	opanene kaa
caá	c a á	k a a	kaa
chiparadío	ch i p a r a d í o	k i p a r a d i o	kiparadio
coda	c o d a	k o d a	koda
epanu	e p a n u	e p a n u	epanu
chipopòa	ch i p o p ò a	k i p o p O a	kipopOa
elòha	e l ò h a	e l O h a	elOha
elòha	e l ò h a	e l O h a	elOha
parahò	p a r a h ò	p a r a h O	parahO
caani	c a a n i	k a a n i	kaani
chèa	ch è a	k E a	kEa
ica	i c a	i k a	ika
ica	i c a	i k a	ika
niène	n i è n e	n i E n e	niEne
capé	c a p é	k a p e	kape
eharu	e h a r u	e h a r u	eharu
eharu	e h a r u	e h a r u	eharu
coahia	c o a h i a	k o a h i a	koahia
heucaa	h e u c a a	h e u k a a	heukaa
eaco	e a c o	e a k o	eako
eoá	e o á	e o a	eoa
ecao doho	e c ao # d o h o	e k a:o # d o h o	eka:o doho
baiò	b ai ò	b a:i O	ba:iO
ebaca	e b a c a	e b a k a	ebaka
menuca	m e n u c a	m e n u k a	menuka
cheneuéhe	ch e n e u é h e	k e n e u e h e	keneuehe
ecaha é	e c a h a # é	e k a h a # e	ekaha e
epihopò	e p i h o p ò	e p i x o p O	epixopO
epuco	e p u c o	e p u k o	epuko
noóni	n o ó n i	n o o n i	nooni
noóni	n o ó n i	n o o n i	nooni
ecarihía	e c a r i h í a	e k a r i x i a	ekarixia
cahoúca	c a h oú c a	k a h o:u k a	kaho:uka
ecò	e c ò	e k O	ekO
paricohòi	p a r i c o h òi	p a r i k o h o:i	parikoho:i
paricohòi	p a r i c o h òi	p a r i k o h o:i	parikoho:i
eà	e à	e a	ea
idò²	i d ò ²	i d O ²	idO²
cachidapa	c a ch i d a p a	k a k i d a p a	kakidapa
ama	a m a	a m a	ama
eurobaca	e u r o b a c a	e u r o b a k a	eurobaka
chelo²	ch e l o ²	k e l o ²	kelo²
arpaha	a r p a h a	a r p a h a	arpaha
panau̇	p a n au̇	p a n a:u	pana:u
baara	b a a r a	b a a r a	baara
omumo	o m u m o	o m u m o	omumo
eudòpo	e u d ò p o	e u d O p o	eudOpo
cahò	c a h ò	k a h O	kahO
chiacáho	ch i a c á h o	k i a k a h o	kiakaho
cheoba puhai pahua	ch e o b a # p u h ai # p a h u a	k e o b a # p u h a:i # p a h u a	keoba puha:i pahua
caparae bahu	c a p a r ae # b a h u	k a p a r a:e # b a h u	kapara:e bahu
euli	e u l i	e u l i	euli
pruru	p r u r u	p r u r u	pruru
coro²	c o r o ²	k o r o ²	koro²
cheora	ch e o r a	k e o r a	keora
enò	e n ò	e n O	enO
iaio	i ai o	i a:i o	ia:io
capurica	c a p u r i c a	k a p u r i k a	kapurika
capurica	c a p u r i c a	k a p u r i k a	kapurika
elacò	e l a c ò	e l a k O	elakO
elacò	e l a c ò	e l a k O	elakO
chichi ulu	ch i ch i # u l u	k i k i # u l u	kiki ulu
ecoco	e c o c o	e k o k o	ekoko
ecoco	e c o c o	e k o k o	ekoko
eamaha	e a m a h a	e a m a h a	eamaha
apelu	a p e l u	a p e l u	apelu
bacò	b a c ò	b a k O	bakO
epahiù	e p a h i ù	e p a h i u	epahiu
epahiù	e p a h i ù	e p a h i u	epahiu
nuchi	n u ch i	n u k i	nuki
iae	i ae	i a:e	ia:e
eapáua uae	e a p á u a # u ae	e a p a u a # u a:e	eapaua ua:e
pamo	p a m o	p a m o	pamo
eea	e e a	e e a	eea
eea ia peigi	e e a # i a # p ei gi	e e a # i a # p e:i c	eea ia pe:ic
ebò	e b ò	e b O	ebO
bodo	b o d o	b o d o	bodo
na apé	n a # a p é	n a # a p e	na ape
		⁇	⁇
ena uapo	e n a # u a p o	e n a # u a p o	ena uapo
ena ua	e n a # u a	e n a # u a	ena ua
pio²	p i o ²	p i o ²	pio²
epu apò	e p u # a p ò	e p u # a p O	epu apO
